artist_id,tag_id,tag_name,target_post_count,total_post_count,avg_score,avg_fav_count,ratio
85208,703053,dragoner,11,102,50.1818181818181818,60.5454545454545455,0.10784313725490197
185071,1517924,aestheticc-meme,73,677,132.7945205479452055,144.8767123287671233,0.10782865583456426
51507,1646717,zen33n,55,511,248.6,426.8545454545454545,0.10763209393346379
224915,1632550,camonome,71,670,220.1267605633802817,238.7605633802816901,0.10597014925373134
129505,1351420,gorgeous_mushroom,48,453,141.9375,267.25,0.10596026490066225
83492,695447,doxy,18,170,99.6666666666666667,170.0555555555555556,0.10588235294117647
61946,613682,the_hermit,11,104,39.2727272727272727,65.0909090909090909,0.10576923076923077
98502,474177,vesperia,12,114,78.9166666666666667,93,0.10526315789473684
199697,410130,gloss,13,124,90.3846153846153846,171.3846153846153846,0.10483870967741936
37827,705830,dragon@harry,22,211,23.3636363636363636,48.5,0.10426540284360189
226767,1636690,pomelomelon,22,212,137.1818181818181818,141,0.10377358490566038
172080,1482406,xkit,12,116,126.8333333333333333,167.5833333333333333,0.10344827586206896
100738,872666,john_doe_shinobu,15,146,62.0666666666666667,66.4666666666666667,0.10273972602739725
182199,1534418,tyrone,19,185,144.8421052631578947,171.9473684210526316,0.10270270270270271
52268,570006,sigm@,27,265,163.5925925925925926,209.1111111111111111,0.1018867924528302
113006,1292539,lumineko,11,108,21.6363636363636364,29.7272727272727273,0.10185185185185185
225249,1633244,kuon_bb,12,118,172.9166666666666667,167.1666666666666667,0.1016949152542373
140762,1386007,yashemao_qishi,13,128,120.8461538461538462,199.2307692307692308,0.1015625
130850,1475651,cowfee,42,414,57.5952380952380952,97.4285714285714286,0.10144927536231885
